acc,organism,clade,arm
LC272005.1,"Fissidens subangustus chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete ",Mosses,B1_sparse_clade
LC884819.1,"Cyanidium caldarium SAG16.91 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, co",Red algae,B1_sparse_clade
AB071411.1,"Mastopoma subfiliferum chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete",Mosses,B1_sparse_clade
AB050950.1,"Filibryum ogatae chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds",Mosses,B1_sparse_clade
AB029389.1,"Myuroclada maximowiczii chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complet",Mosses,B1_sparse_clade
AB029384.1,"Calohypnum plumiforme chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete ",Mosses,B1_sparse_clade
LC858740.1,"Cyathodium cavernarum NICH:T.-X. Zheng 17804 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase l",Liverworts,B1_sparse_clade
LC858739.1,"Cyathodium cavernarum NICH:T.-X. Zheng 17801 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase l",Liverworts,B1_sparse_clade
LC858738.1,"Cyathodium tuberosum PE:L. Luo 769 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",Liverworts,B1_sparse_clade
PV575775.1,"Sargassum hemiphyllum var. chinense haplotype 5 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gen",Brown algae,B1_sparse_clade
PV575774.1,"Sargassum hemiphyllum var. chinense haplotype 4 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gen",Brown algae,B1_sparse_clade
PV575773.1,"Sargassum hemiphyllum var. chinense haplotype 3 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gen",Brown algae,B1_sparse_clade
PV575772.1,"Sargassum hemiphyllum var. chinense haplotype 2 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gen",Brown algae,B1_sparse_clade
